2026-03-13 17:04:36,656 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:04:36,656 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:04:36,656 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:04:36,660 | INFO | src.pipeline.inspection_pipeline | Initializing Inspection Pipeline
2026-03-13 17:04:36,660 | INFO | src.llm.report_generator | Initializing Report Generator
2026-03-13 17:04:36,957 | INFO | src.pipeline.inspection_pipeline | Running construction inspection pipeline
2026-03-13 17:04:36,959 | INFO | src.cv.detector | Loading model: models/construction_detector/weights/best.pt
2026-03-13 17:04:37,114 | INFO | src.cv.detector | Detection completed: {'Hardhat': 1, 'NO-Hardhat': 1, 'Safety Cone': 1, 'Mask': 2, 'NO-Mask': 1}
2026-03-13 17:04:37,114 | INFO | src.pipeline.inspection_pipeline | Detections: {'Hardhat': 1, 'NO-Hardhat': 1, 'Safety Cone': 1, 'Mask': 2, 'NO-Mask': 1}
2026-03-13 17:04:37,115 | INFO | src.pipeline.inspection_pipeline | Safety analysis: {'Hardhat': 1, 'NO-Hardhat': 1, 'Safety Cone': 1, 'Mask': 2, 'NO-Mask': 1, 'workers_without_helmet': 0}
2026-03-13 17:04:37,198 | INFO | src.llm.report_generator | LangGraph input node received detections
2026-03-13 17:04:37,199 | INFO | src.llm.report_generator | Prompt formatted for LLM
2026-03-13 17:04:37,199 | INFO | src.llm.report_generator | Sending prompt to LLM
2026-03-13 17:04:50,548 | INFO | src.llm.report_generator | LLM report generated
2026-03-13 17:04:50,550 | INFO | src.llm.report_generator | LangGraph workflow completed
2026-03-13 17:04:50,553 | INFO | __main__ | Inspection completed
2026-03-13 17:04:50,553 | INFO | __main__ | Inspection completed
2026-03-13 17:04:50,553 | INFO | __main__ | Inspection completed
2026-03-13 17:08:45,184 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:08:45,184 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:08:45,184 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:08:45,188 | INFO | src.pipeline.inspection_pipeline | Initializing Inspection Pipeline
2026-03-13 17:08:45,188 | INFO | src.llm.report_generator | Initializing Report Generator
2026-03-13 17:08:45,195 | INFO | src.pipeline.inspection_pipeline | Running construction inspection pipeline
2026-03-13 17:08:45,197 | INFO | src.cv.detector | Loading model: models/construction_detector/weights/best.pt
2026-03-13 17:08:45,307 | INFO | src.cv.detector | Detection completed: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1}
2026-03-13 17:08:45,307 | INFO | src.pipeline.inspection_pipeline | Detections: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1}
2026-03-13 17:08:45,307 | INFO | src.pipeline.inspection_pipeline | Safety analysis: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1, 'workers_without_helmet': 0}
2026-03-13 17:08:45,312 | INFO | src.llm.report_generator | LangGraph input node received detections
2026-03-13 17:08:45,313 | INFO | src.llm.report_generator | Prompt formatted for LLM
2026-03-13 17:08:45,314 | INFO | src.llm.report_generator | Sending prompt to LLM
2026-03-13 17:08:57,240 | INFO | src.llm.report_generator | LLM report generated
2026-03-13 17:08:57,241 | INFO | src.llm.report_generator | LangGraph workflow completed
2026-03-13 17:08:57,243 | INFO | __main__ | Inspection completed
2026-03-13 17:08:57,243 | INFO | __main__ | Inspection completed
2026-03-13 17:08:57,243 | INFO | __main__ | Inspection completed
2026-03-13 17:11:12,705 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:11:12,705 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:11:12,705 | INFO | __main__ | Inspection started from Streamlit UI
2026-03-13 17:11:12,709 | INFO | src.pipeline.inspection_pipeline | Initializing Inspection Pipeline
2026-03-13 17:11:12,709 | INFO | src.llm.report_generator | Initializing Report Generator
2026-03-13 17:11:12,714 | INFO | src.pipeline.inspection_pipeline | Running construction inspection pipeline
2026-03-13 17:11:12,717 | INFO | src.cv.detector | Loading model: models/construction_detector/weights/best.pt
2026-03-13 17:11:12,827 | INFO | src.cv.detector | Detection completed: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1}
2026-03-13 17:11:12,828 | INFO | src.pipeline.inspection_pipeline | Detections: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1}
2026-03-13 17:11:12,828 | INFO | src.pipeline.inspection_pipeline | Safety analysis: {'NO-Hardhat': 1, 'Mask': 2, 'Hardhat': 1, 'Safety Cone': 1, 'workers_without_helmet': 0}
2026-03-13 17:11:12,834 | INFO | src.llm.report_generator | LangGraph input node received detections
2026-03-13 17:11:12,835 | INFO | src.llm.report_generator | Prompt formatted for LLM
2026-03-13 17:11:12,836 | INFO | src.llm.report_generator | Sending prompt to LLM
2026-03-13 17:11:25,556 | INFO | src.llm.report_generator | LLM report generated
2026-03-13 17:11:25,557 | INFO | src.llm.report_generator | LangGraph workflow completed
2026-03-13 17:11:25,562 | INFO | __main__ | Inspection completed
2026-03-13 17:11:25,562 | INFO | __main__ | Inspection completed
2026-03-13 17:11:25,562 | INFO | __main__ | Inspection completed
