epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.822,1.87788,2.99275,1.79693,0.63817,0.31935,0.3407,0.15618,1.99108,2.20794,1.95825,0.000236275,0.000236275,0.000236275
2,540.995,1.80791,1.84881,1.70458,0.75625,0.36022,0.43365,0.19668,1.92546,1.8207,1.92496,0.000450799,0.000450799,0.000450799
3,823.598,1.7715,1.72041,1.69952,0.46532,0.46484,0.46384,0.21632,1.90284,1.78194,1.91194,0.00064176,0.00064176,0.00064176
4,1110.47,1.75604,1.61811,1.68297,0.5172,0.50003,0.49919,0.22912,1.88403,1.66408,1.89787,0.000607971,0.000607971,0.000607971
5,1395.7,1.70726,1.52575,1.64046,0.52722,0.51502,0.52353,0.25117,1.85444,1.5799,1.88172,0.000572628,0.000572628,0.000572628
6,1678.36,1.711,1.50719,1.66262,0.50178,0.49568,0.51883,0.25047,1.81461,1.55625,1.84743,0.000537285,0.000537285,0.000537285
7,1962.08,1.65489,1.4337,1.60544,0.6326,0.52025,0.52834,0.24899,1.85323,1.51154,1.86703,0.000501942,0.000501942,0.000501942
8,2245.43,1.65474,1.40564,1.61186,0.6205,0.53011,0.54082,0.25817,1.80708,1.47967,1.83341,0.000466599,0.000466599,0.000466599
9,2531.5,1.652,1.37424,1.60939,0.61196,0.51687,0.53931,0.25803,1.81557,1.45465,1.80843,0.000431256,0.000431256,0.000431256
10,2816.89,1.63449,1.36477,1.5922,0.58216,0.53673,0.55946,0.26961,1.78372,1.39322,1.81175,0.000395913,0.000395913,0.000395913
11,3098.95,1.61666,1.34319,1.67616,0.67808,0.50606,0.54904,0.26935,1.78989,1.38334,1.81525,0.00036057,0.00036057,0.00036057
12,3379.99,1.60993,1.29652,1.67404,0.6591,0.51915,0.56131,0.27435,1.76158,1.35644,1.79652,0.000325227,0.000325227,0.000325227
13,3657.58,1.58079,1.23561,1.63463,0.76276,0.4954,0.56807,0.28585,1.74458,1.33094,1.79284,0.000289884,0.000289884,0.000289884
14,3943.56,1.55803,1.20407,1.62944,0.73759,0.51147,0.57015,0.27676,1.77728,1.32362,1.79104,0.000254541,0.000254541,0.000254541
15,4222.14,1.54486,1.17915,1.62594,0.86859,0.49957,0.60102,0.29416,1.73382,1.26256,1.77377,0.000219198,0.000219198,0.000219198
16,4499.89,1.51996,1.13569,1.59457,0.63979,0.55484,0.59362,0.29359,1.73435,1.25143,1.77053,0.000183855,0.000183855,0.000183855
17,4779.88,1.49276,1.09669,1.56497,0.85463,0.51617,0.59332,0.29304,1.72787,1.23784,1.77019,0.000148512,0.000148512,0.000148512
18,5055.64,1.49401,1.08756,1.55994,0.67208,0.54457,0.5891,0.29095,1.73779,1.22223,1.76774,0.000113169,0.000113169,0.000113169
19,5332.05,1.47355,1.07832,1.55959,0.70929,0.55358,0.59182,0.29508,1.73259,1.22211,1.76257,7.7826e-05,7.7826e-05,7.7826e-05
20,5608.6,1.45715,1.06297,1.5485,0.79821,0.53012,0.59428,0.29764,1.72767,1.21293,1.7549,4.2483e-05,4.2483e-05,4.2483e-05
